hip,hd,proper,bf,bayer,flam,con,ra_deg,dec,mag,ci,spect,dist
25,224750,"","","","",Phe,0.0795,-44.290561,6.28,0.763,G3IV,81.367
34,224758,"","","","",Peg,0.09956999999999999,26.918108,6.43,0.514,F7.5IV-V,74.6269
43,224784,"","","","",Cas,0.128895,59.559679,6.18,1.032,G9III-IV,136.2398
50,224782,"","","","",Phe,0.14299499999999998,-53.097713,6.49,0.616,G1IV,59.4177
63,224801,"","","","",And,0.181785,45.253334,6.36,-0.047,B9p SiEu,187.9699
88,224834,"",Tau Phe,Tau,"",Phe,0.269115,-48.809876,5.71,0.911,G8III,181.8182
106,224870,"","","","",Cas,0.330195,49.981558,6.22,0.97,G7II-III,199.6008
107,224865,"","","","",Phe,0.333825,-50.337373,5.53,1.615,M2III,166.3894
122,224889,"",The Oct,The,"",Oct,0.39924000000000004,-77.065724,4.78,1.254,K2III,66.5779
124,224893,"","","","",Cas,0.404235,61.222801,5.58,0.407,F0III,943.3962
128,224890,"","","","",Cep,0.413955,73.611846,6.5,0.182,Am...,70.7714
137,224906,"","","","",And,0.432705,42.367144,6.25,-0.042,B9IIIp Mn,374.5318
145,224926,"",29    Psc,"",29,Psc,0.45603,-3.027504,5.13,-0.128,B7III-IV,139.2758
154,224935,"",30    Psc,"",30,Psc,0.49008,-6.014072,4.37,1.631,M3III,132.4503
171,224930,"",85    Peg,"",85,Peg,0.5420849999999999,27.082256,5.8,0.69,G3V,12.1699
183,224990,"",Zet Scl,Zet,"",Scl,0.583005,-29.720414,5.04,-0.15,B4V,154.0832
186,224995,"",31    Psc,"",31,Psc,0.60069,8.956824,6.33,0.182,A6V,122.8501
194,225003,"",32    Psc,"",32,Psc,0.6237600000000001,8.485463,5.7,0.315,F0V,36.9004
207,225009,"","","","",Cas,0.650355,66.098966,5.87,1.073,G8III,100000.0
238,225045,"","","","",Cet,0.7395149999999999,-20.045882,6.25,0.526,F6/F7V,61.1621
253,225069,"","","","",Cet,0.7827149999999999,-24.145145,6.46,1.176,K1III,203.666
274,225094,"","","","",Cas,0.857145,63.64052,6.24,0.332,B3Ia,763.3588
301,225132,"",2    Cet,"",2,Cet,0.9349500000000001,-17.335988,4.55,-0.047,B9IVn,83.4725
302,225136,"","","","",Cep,0.9651299999999999,66.712183,6.31,1.629,M4,265.9574
330,225180,"",9    Cas,"",9,Cas,1.05693,62.287664,5.9,0.274,A1III,100000.0
343,225197,"","","","",Cet,1.082475,-16.529036,5.78,1.084,K0III,90.6618
345,225200,"","","","",Scl,1.08465,-29.268822,6.38,0.006,A1V,124.8439
355,225212,"",3    Cet,"",3,Cet,1.1254950000000001,-10.509523,4.99,1.619,K3Ibvar,641.0256
365,225218,"","","","",And,1.15245,42.09253,6.11,0.159,B9III,386.1004
377,225253,"","","","",Tuc,1.1719650000000001,-71.436891,5.59,-0.1,B8III,175.4386
379,225216,"","","","",Cep,1.17456,67.166445,5.68,1.051,K1III,92.6784
394,225239,"","","","",And,1.223595,34.659797,6.09,0.632,G2V,39.185
399,225276,"","","","",Peg,1.2333,26.648764,6.25,1.368,K4IIIb,200.0
410,225292,"","","","",Peg,1.25493,27.674784,6.47,0.946,G8II,168.0672
417,6,"","","","",Psc,1.265925,-0.503035,6.32,1.099,G9III:,138.8889
418,225289,"","","","",Cas,1.275585,61.31397,5.8,-0.067,B8MNp...,221.7295
443,28,"",33    Psc,"",33,Psc,1.33392,-5.707618,4.61,1.029,K1III,39.4945
476,87,"",86    Peg,"",86,Peg,1.424835,13.396266,5.55,0.901,G5III,114.2857
518,123,"","","","",Cas,1.56534,58.436733,5.98,0.687,G5V,21.4777
522,142,"","","","",Phe,1.5791549999999999,-49.075191,5.7,0.519,G1IV...,25.7136
531,144,"",10    Cas,"",10,Cas,1.61055,64.196168,5.57,-0.023,B9III,265.9574
544,166,"","","","",And,1.653135,29.021502,6.07,0.752,K0V,13.6705
560,203,"","","","",Cet,1.7086649999999999,-23.10754,6.19,0.386,F2IV,39.3856
602,256,"","","","",Cet,1.826115,-17.38699,6.2,0.133,A2IV/V,176.0563
635,315,"","","","",Psc,1.9338000000000002,-2.548679,6.43,-0.146,B8IIIsp...,183.4862
636,319,"","","","",Cet,1.945395,-22.50856,5.93,0.141,A1V,78.3699
655,344,"","","","",Scl,2.014545,-33.529326,5.67,1.119,K1III,94.9668
664,352,"","","","",Psc,2.050395,-2.447711,6.18,1.366,K2III,279.3296
671,360,"","","","",Cet,2.07306,-8.824112,5.99,1.034,G8III:,98.4252
677,358,Alpheratz,21Alp And,Alp,21,And,2.096865,29.090432,2.07,-0.038,B9p,29.7442
695,371,"","","","",Cas,2.13693,63.20404,6.41,0.998,G3II,369.0037
696,402,"","","","",Cet,2.13957,-17.578155,6.11,1.664,M0/M1IIICNp,578.0347
699,400,"","","","",And,2.17065,36.627125,6.21,0.504,F8IV,32.4465
716,417,"","","","",Peg,2.21721,25.462985,6.24,0.976,K0III,138.5042
728,434,"","","","",Peg,2.250675,28.247543,6.47,0.242,A4Vm,110.8647
729,448,"",87    Peg,"",87,Peg,2.26008,18.211963,5.57,1.043,G9III,87.4126
730,469,"","","","",Phe,2.2599,-54.001931,6.32,0.738,G4IV...,128.3697
746,432,Caph,11Bet Cas,Bet,11,Cas,2.293305,59.14978,2.28,0.38,F2III-IV,16.7842
760,431,"","","","",Cep,2.332875,79.714545,6.01,0.203,A7IV,105.4852
761,493,"",Kap1Scl,Kap-1,"",Scl,2.3377649999999996,-27.987928,5.42,0.414,F3V,77.4593
765,496,"",Eps Phe,Eps,"",Phe,2.35254,-45.747426,3.88,1.013,K0III,44.2087
798,565,"","","","",Tuc,2.46711,-62.296794,6.34,0.164,A6V,132.2751
813,560,"",34    Psc,"",34,Psc,2.50917,11.145813,5.54,-0.064,B9V,93.633
814,636,"",Gam3Oct,Gam-3,"",Oct,2.509395,-82.224047,5.29,1.049,K1/K2III,78.064
840,587,"","","","",Psc,2.57862,-5.248588,5.84,0.973,K1III,58.309
841,571,"",22    And,"",22,And,2.58018,46.072272,5.01,0.405,F2II,377.3585
873,645,"","","","",Cet,2.678475,-12.579897,5.84,1.0,K0III,75.0188
910,693,"",6    Cet,"",6,Cet,2.8160849999999997,-15.467977,4.89,0.487,F5V,18.7477
930,720,"",Kap2Scl,Kap-2,"",Scl,2.8934100000000003,-27.799737,5.41,1.346,K2III,243.309
950,739,"",The Scl,The,"",Scl,2.93328,-35.133119,5.24,0.459,F3/F5V,21.2766
967,743,"","","","",And,2.996115,48.152396,6.18,1.467,K4III,202.0202
983,787,"","","","",Cet,3.041595,-17.938278,5.29,1.478,K4III,190.8397
1009,800,"","","","",And,3.1422600000000003,44.707195,6.5,1.112,K0,140.8451
1067,886,Algenib,88Gam Peg,Gam,88,Peg,3.30897,15.183596,2.83,-0.19,B2IV,120.048
1074,1032,"","","","",Oct,3.331485,-84.993978,5.78,1.71,M0/M1III,298.5075
1076,895,"","","","",And,3.34968,26.987545,6.24,0.68,G0III,131.406
1086,905,"",23    And,"",23,And,3.3786,41.03537,5.71,0.331,F0IV,34.904
1096,942,"","","","",Scl,3.426015,-26.022345,5.94,1.548,K5III,396.8254
1099,943,"","","","",Scl,3.43491,-26.284959,6.14,1.49,K4III,265.252
1123,952,"","","","",And,3.5095050000000003,33.206039,6.22,0.009,A1V,103.1992
1158,1014,"","","","",Cet,3.61512,-7.780532,5.13,1.601,M3IIIvar,178.5714
1168,1013,"",89Chi Peg,Chi,89,Peg,3.6506700000000003,20.206702,4.79,1.572,M2III,112.8668
1170,1038,"",7    Cet,"",7,Cet,3.660075,-18.932866,4.44,1.64,M1III,137.1742
1191,1064,"","","","",Cet,3.72714,-9.569571,5.77,-0.084,B9V,103.8422
1193,1048,"","","","",Peg,3.7329,22.284225,6.25,-0.004,A1p,140.8451
1195,1089,"","","","",Scl,3.7427249999999996,-34.904223,6.17,1.344,K3III,194.5525
1196,1061,"",35    Psc,"",35,Psc,3.745155,8.820962,6.02,0.312,F0IV,77.7605
1208,1075,"","","","",And,3.77895,31.535725,6.34,1.555,K5,286.533
1215,1083,"","","","",And,3.79401,27.28344,6.35,-0.002,A1Vn,135.1351
1269,1142,"","","","",Cas,3.978585,61.000172,6.43,0.838,G8III...,132.9787
1268,1221,"","","","",Hyi,3.9788550000000003,-75.911615,6.49,0.983,G8/K0III,189.3939
1288,1187,"","","","",Scl,4.03689,-31.446394,5.66,1.35,K2III,152.207
1296,1141,"","","","",Cep,4.057905,76.950755,6.35,-0.044,B9Vn,192.3077
1302,1185,"","","","",And,4.089675000000001,43.595049,6.12,0.068,A2V,106.4963
1319,1227,"",36    Psc,"",36,Psc,4.14183,8.240154,6.12,0.919,G8II-III,125.0
1331,1256,"","","","",Cet,4.176435,-20.210061,6.5,-0.108,B6III/IV,182.8154
1354,1239,"","","","",Cas,4.237695,61.533185,5.74,0.898,G8III,190.1141
1366,1280,"",24The And,The,24,And,4.272945,38.681636,4.61,0.059,A2V,94.697
1372,1279,"","","","",Cas,4.287675,47.947405,5.86,-0.079,B7III,343.6426
1402,1343,"","","","",Cet,4.386254999999999,-19.051092,6.46,0.386,F3V,48.4966
1415,1337,"","","","",Cas,4.429424999999999,51.43309,6.11,-0.151,O9IIInn,735.2941
1421,1367,"","","","",Psc,4.448745,1.688727,6.19,0.937,K0II,117.3709
1465,1419,"","","","",Psc,4.571865,11.206214,6.07,1.036,K0III,153.8462
1473,1404,"",25Sig And,Sig,25,And,4.581945,36.785224,4.51,0.054,A2V,41.3223
1493,1439,"","","","",And,4.659375,31.517227,5.88,-0.014,A0IV,166.6667
1499,1461,"","","","",Cet,4.674435,-8.053001,6.47,0.674,G0V,23.245
1501,1438,"",26    And,"",26,And,4.67568,43.791141,6.1,-0.074,B8V,202.8398
1502,1483,"","","","",Phe,4.6773,-43.235571,6.33,1.21,K2III,112.4859
1562,1522,"",8Iot Cet,Iot,8,Cet,4.856985,-8.823921,3.56,1.214,K2III,84.1751
1575,1527,"","","","",And,4.92318,40.729461,6.35,1.179,K1III,175.1313
1599,1581,"",Zet Tuc,Zet,"",Tuc,5.01213,-64.874791,4.23,0.576,F9V,8.5866
1630,1606,"","","","",And,5.101665,30.935614,5.89,-0.098,B7V,159.7444
1639,1601,"","","","",Cas,5.12886,48.968633,6.46,0.564,G0,218.3406
1645,1635,"",41    Psc,"",41,Psc,5.149425,8.190271,5.38,1.343,K3III,125.0
1647,1685,"",Pi  Tuc,Pi,"",Tuc,5.162669999999999,-69.624913,5.5,-0.046,B9V,97.561
1657,1632,"","","","",And,5.1896700000000004,32.911186,5.79,1.595,K5III,191.9386
1686,1671,"",27Rho And,Rho,27,And,5.280255,37.968603,5.16,0.442,F5III,48.5437
1706,1801,"","","","",Hyi,5.36979,-77.426873,5.96,1.397,K3III,174.8252
1708,1737,"",Iot Scl,Iot,"",Scl,5.379975,-28.981469,5.18,1.006,K0III,101.3171
1728,1760,"","","","",Cet,5.442794999999999,-20.058024,5.61,1.58,M5/M6Ib/II,270.2703
1772,1796,"",42    Psc,"",42,Psc,5.606175,13.482488,6.25,1.225,K3III,153.8462
1803,1835,"",9    Cet,"",9,Cet,5.715764999999999,-12.209438,6.39,0.659,G3V,20.8638
1821,1879,"","","","",Cet,5.7683100000000005,-15.942556,6.43,1.595,M0III,337.8378
1921,1976,"","","","",Cas,6.06522,52.019914,5.58,-0.11,B5IV,306.7485
1939,2023,"","","","",Psc,6.12354,-2.219064,6.08,1.216,K1III,151.7451
1948,2035,"","","",43,Psc,6.1589849999999995,14.315514,6.48,1.161,K0,180.5054
1960,2011,"",12    Cas,"",12,Cas,6.197895,61.831057,5.38,0.008,B9III,215.0538
1982,2054,"","","","",Cas,6.276675,53.046786,5.72,-0.056,B9IV,158.2278
2006,2114,"",44    Psc,"",44,Psc,6.350865000000001,1.939692,5.77,0.855,G5III,144.0922
2021,2151,"",Bet Hyi,Bet,"",Hyi,6.418740000000001,-77.254247,2.82,0.618,G2IV,7.4588
2072,2262,"",Kap Phe,Kap,"",Phe,6.55074,-43.679829,3.93,0.175,A7V,23.8095
2081,2261,Ankaa,Alp Phe,Alp,"",Phe,6.5708400000000005,-42.305981,2.4,1.083,K0III...,25.974
2086,2268,"","","","",Cet,6.590625,-18.693632,6.24,1.622,M1III,483.0918
2100,2273,"",10    Cet,"",10,Cet,6.65589,-0.049533,6.16,0.893,G8III,138.3126
2159,2363,"","","","",Scl,6.811275,-25.54717,5.99,1.022,K0III,176.0563
2178,2358,"","","","",Psc,6.879449999999999,16.025483,6.44,0.23,A5,117.2333
2210,2429,"",Eta Scl,Eta,"",Scl,6.98208,-33.007167,4.86,1.634,M2/M3III,138.5042
2213,2410,"","","",46,Psc,6.993615,19.514039,6.4,0.99,K0,172.117
2219,2411,"",47    Psc,"",47,Psc,7.012124999999999,17.893125,5.01,1.584,M3IIIvar,162.0746
2224,2436,"",48    Psc,"",48,Psc,7.052924999999999,16.445065,6.05,1.58,K5III,233.6449
2225,2421,"","","","",And,7.05681,44.394452,5.18,0.043,A2Vs,86.6551
2235,2454,"","","","",Psc,7.08354,10.189848,6.05,0.447,F6Vawvar,36.5497
2237,2475,"","","","",Cet,7.08792,-20.335051,6.44,0.594,G3V,32.1958
2240,2490,"","","","",Phe,7.110405,-39.915002,5.42,1.556,M0III,115.2074
2256,2529,"","","","",Phe,7.17948,-50.532859,6.26,1.09,K0III,125.3133
2270,2507,"","","","",And,7.23609,36.899694,6.28,0.916,G5III,162.0746
2337,2630,"","","","",Cet,7.466220000000001,-14.864109,6.15,0.388,F2/F3V,42.7533
2353,2637,"",12    Cet,"",12,Cet,7.509824999999999,-3.957332,5.72,1.545,M0III,173.913
2355,2628,"",28    And,"",28,And,7.530675,29.751557,5.2,0.271,A7III,62.7746
2377,2626,"","","","",Cas,7.583010000000001,59.977554,5.94,-0.003,B9IIIn,235.8491
2381,2696,"","","","",Cet,7.594395,-23.78768,5.17,0.128,A3V,53.1067
2383,2726,"","","","",Phe,7.60863,-48.21491,5.67,0.367,F2V,43.0849
2388,2724,"","","","",Phe,7.6159349999999995,-40.939586,6.18,0.315,F2III,129.5337
2422,2589,"","","","",Cas,7.726649999999999,77.019404,6.18,0.883,K0IV,38.506
2472,2834,"",Lam1Phe,Lam-1,"",Phe,7.85391,-48.803514,4.76,0.018,A0V,52.9661
2474,2729,"",13    Cas,"",13,Cas,7.855049999999999,66.519617,6.18,-0.1,B6V,233.1002
2475,2767,"","","","",And,7.856805,33.581642,5.88,1.133,K1III...,116.144
2484,2884,"",Bet1Tuc,Bet-1,"",Tuc,7.885875,-62.958218,4.36,-0.064,B9V,41.4079
2487,2885,"",Bet2Tuc,Bet-2,"",Tuc,7.88919,-62.965561,4.53,0.147,A2V,51.6529
2497,2774,"","","","",Cas,7.921575000000001,52.839526,5.59,1.163,K2III,116.8224
2505,2772,"",14Lam Cas,Lam,14,Cas,7.943085,54.522289,4.74,-0.098,B8Vn,115.7407
2548,2913,"",51    Psc,"",51,Psc,8.099084999999999,6.955463,5.69,-0.014,B9.5V,80.9717
2568,2910,"",52    Psc,"",52,Psc,8.147835,20.294316,5.38,1.069,K0III,80.0
2578,3003,"",Bet3Tuc,Bet-3,"",Tuc,8.18268,-63.0315,5.07,0.038,A0V,45.5581
2583,2942,"","","","",And,8.204535,28.280241,6.26,0.965,G8II,158.4786
2599,2905,"",15Kap Cas,Kap,15,Cas,8.249955,62.931783,4.17,0.13,B1Ia,100000.0
2611,2952,"","","","",Cas,8.293185,54.894985,5.93,1.037,K0III,114.1553
2628,2904,"","","","",Cas,8.3301,70.981843,6.41,-0.007,A0Vn,151.7451
2629,3112,"",The Tuc,The,"",Tuc,8.346945,-71.266246,6.11,0.265,A7IV,130.039
2661,3059,"","","","",Scl,8.421015,-29.558278,5.55,1.262,K1III,165.0165
2663,3074,"","","","",Scl,8.432549999999999,-35.002078,6.41,0.617,F8/G0V,33.1126
2707,3038,"",16    Cas,"",16,Cas,8.603745,66.750351,6.47,-0.049,B9III,189.7533
2711,3158,"","","","",Phe,8.61561,-52.37309,5.57,0.472,F3IV-V,25.4842
2734,3166,"","","","",Psc,8.73069,13.371137,6.39,1.136,K0,109.6491
2762,3196,"",13    Cet,"",13,Cet,8.811990000000002,-3.592846,5.2,0.567,F8V...,21.254
2787,3229,"",14    Cet,"",14,Cet,8.88681,-0.50561,5.94,0.444,F5IV,54.4959
2789,3303,"","","","",Phe,8.888865,-54.821873,6.04,1.001,K0IV,70.7714
2802,3302,"",Lam2Phe,Lam-2,"",Phe,8.921505,-48.000907,5.51,0.461,F6V,34.8189
2832,3268,"","","","",Psc,8.978355,13.207067,6.32,0.517,F7V,37.5657
2846,3325,"","","","",Cet,9.013155,-14.973035,6.45,1.063,K0III,115.3403
2852,3326,"","","","",Cet,9.028590000000001,-22.842333,6.06,0.297,A5m...,48.8759
2854,3240,"","","","",Cas,9.03459,54.16845,5.08,-0.098,B7III,164.4737
2876,3283,"","","","",Cas,9.113925,60.326215,5.78,0.294,A4III,100000.0
2889,3444,"","","","",Tuc,9.156735000000001,-65.124445,6.43,1.26,K2/K3III,211.8644
2900,3346,"","","","",And,9.193545,44.488587,5.14,1.587,K5III,189.0359
2903,3379,"",53    Psc,"",53,Psc,9.19713,15.231725,5.89,-0.146,B2.5IV,318.4713
2912,3369,"",29Pi  And,Pi,29,And,9.2202,33.719344,4.34,-0.123,B5V,183.4862
2920,3360,Fulu,17Zet Cas,Zet,17,Cas,9.24282,53.896909,3.69,-0.196,B2IV,181.8182
2926,3411,"","","","",And,9.279959999999999,24.014136,6.18,1.17,K2III,112.7396
2937,3488,"","","","",Phe,9.325905,-54.393819,6.4,0.995,K0II/IIICN,146.8429
2941,3443,"","","","",Cet,9.335894999999999,-24.767267,5.57,0.715,K1V+...,15.4012
2942,3421,"","","","",And,9.338415000000001,35.399501,5.45,0.886,G5III,259.7403
2954,3457,"","","","",Psc,9.377040000000001,3.135351,6.43,1.339,K4III,223.2143
3031,3546,"",30Eps And,Eps,30,And,9.63903,29.311751,4.34,0.871,G5III...,50.226
3056,3605,"","","","",Scl,9.703244999999999,-25.107819,6.43,1.482,K4III,273.9726
3083,3574,"","","","",Cas,9.79122,49.354589,5.45,1.644,K5III,641.0256
3092,3627,"",31Del And,Del,31,And,9.83193,30.861024,3.27,1.268,K3III...,32.352
3093,3651,"",54    Psc,"",54,Psc,9.840945,21.250472,5.88,0.85,K0V,11.0595
3132,3440,"","","","",Cep,9.948705,82.493762,6.38,0.551,F6V:,33.2557
3137,3750,"","","","",Phe,9.96642,-44.796293,6.0,1.142,K1IIICN...,94.162
3138,3690,"",55    Psc,"",55,Psc,9.98154,21.438495,5.36,1.16,F3V...,127.0648
3170,3823,"","","","",Tuc,10.104885,-59.454604,5.89,0.564,G1V,24.9563
3175,3794,"","","","",Cet,10.11909,-16.516676,6.49,0.91,G8III,146.4129
3179,3712,Schedar,18Alp Cas,Alp,18,Cas,10.126740000000002,56.537331,2.24,1.17,K0II-IIIvar,69.979
3185,3795,"","","","",Cet,10.136565000000001,-23.804876,6.14,0.718,G3/G5V,28.885
3193,3807,"","","","",Cet,10.176554999999999,-4.351841,5.9,1.091,K0III,144.5087
3231,3817,"",32    And,"",32,And,10.27995,39.458664,5.3,0.891,G8III,108.8139
3245,3919,"",Mu  Phe,Mu,"",Phe,10.33149,-46.085007,4.59,0.953,G8III,75.358
3269,3883,"","","","",And,10.400145,24.629008,6.06,0.298,A7m,126.7427
3277,3980,"",Xi  Phe,Xi,"",Phe,10.44315,-56.501315,5.72,0.131,Ap,67.0241
3299,3856,"","","","",Cas,10.514295,66.147592,5.83,1.042,G9III-IV,158.4786
3300,3901,"",19Xi  Cas,Xi,19,Cas,10.516214999999999,50.512526,4.8,-0.105,B2.5V,438.5965
3330,4089,"",Rho Tuc,Rho,"",Tuc,10.618034999999999,-65.46803,5.38,0.515,F6V,41.0341
3334,3924,"","","","",Cas,10.62927,58.753411,6.18,-0.004,B9.5III,336.7003
3352,4088,"","","","",Tuc,10.674135000000001,-60.262807,5.99,1.318,K5III,70.8215
3356,4065,"",Lam1Scl,Lam-1,"",Scl,10.67871,-38.463483,6.05,-0.024,B9.5V,145.1379
3405,4150,"",Eta Phe,Eta,"",Phe,10.838505,-57.46306,4.36,0.024,A0IV,75.5287
3414,4058,"",20Pi  Cas,Pi,20,Cas,10.866990000000001,47.024546,4.95,0.17,A5V,53.6769
3419,4128,Diphda,16Bet Cet,Bet,16,Cet,10.89735,-17.986605,2.04,1.019,K0III,29.5334
3436,4145,"","","","",Cet,10.9587,-12.011813,6.01,1.107,K1III,56.4016
3455,4188,"",17Phi1Cet,Phi-1,17,Cet,11.047500000000001,-10.60955,4.77,0.998,K0IIIvar,71.6332
3456,4211,"",Lam2Scl,Lam-2,"",Scl,11.050245,-38.421686,5.9,1.144,K1III,103.8422
3478,4142,"","","","",Cas,11.10918,47.863984,5.66,-0.113,B5V...,191.2046
3489,4294,"","","","",Tuc,11.131604999999999,-62.497591,6.06,0.446,F5III/IV,87.6424
3504,4180,"",22Omi Cas,Omi,22,Cas,11.1813,48.284364,4.48,-0.069,B5III,215.5172
3505,4247,"","","","",Cet,11.18499,-22.006135,5.22,0.35,F0V,26.7451
3521,4293,"","","","",Phe,11.237805000000002,-42.676558,5.94,0.297,A7V,64.3915
3527,4304,"","","","",Phe,11.249385,-53.714895,6.15,0.524,F7III,46.5983
3544,4222,"","","","",Cas,11.32161,55.221396,5.41,0.022,A2Vs,98.8142
3552,4301,"","","","",Cet,11.35053,-4.62916,6.15,1.652,M0III,253.8071
3559,4307,"",18    Cet,"",18,Cet,11.369535,-12.88081,6.15,0.603,G2V,30.9981
3572,4161,"",21    Cas,"",21,Cas,11.412930000000001,74.988073,5.64,0.078,A2IV,93.0233
3576,4338,"","","","",Cet,11.423775,-16.42422,6.47,0.314,F0IV,89.0472
3583,4391,"","","","",Phe,11.43975,-47.551985,5.8,0.635,G5IV,15.1584
3604,4335,"","","","",And,11.545035,44.861497,6.03,-0.063,B9.5IIIMNp.,131.0616
3607,4398,"","","","",Cet,11.548935,-22.522097,5.49,0.978,G8/K0III,93.2836
3632,4408,"",57    Psc,"",57,Psc,11.63733,15.475504,5.36,1.559,M4III,238.0952
3641,4295,"","","","",Cas,11.659695000000001,69.325408,6.39,0.424,F3V,40.7498
3649,4362,"","","","",Cas,11.67693,59.574539,6.41,1.081,G0Ib,934.5794
3675,4482,"",58    Psc,"",58,Psc,11.756070000000001,11.973849,5.51,0.987,G8II,86.8056
3685,4490,"",59    Psc,"",59,Psc,11.80677,19.578702,6.11,0.27,F0Vn,100.6036
3693,4502,"",34Zet And,Zet,34,And,11.834715000000001,24.267178,4.08,1.1,K1II,58.0046
3697,4526,"",60    Psc,"",60,Psc,11.848469999999999,6.740956,5.98,0.941,G8III,141.2429
3717,4585,"","","","",Cet,11.930085,-18.061339,5.7,1.3,K3III,108.9325
3721,4382,"",23    Cas,"",23,Cas,11.941785,74.847573,5.42,-0.066,B8III,236.4066
3741,4622,"","","","",Cet,12.00444,-21.722492,5.57,-0.058,B9V,105.1525
3750,4440,"","","","",Cas,12.037305,72.674482,5.86,1.01,K0IV,61.237
3760,4627,"",62    Psc,"",62,Psc,12.07254,7.299928,5.92,1.104,G8III,177.6199
3765,4628,96 G. Psc,"","","",Psc,12.095730000000001,5.280615,5.74,0.89,K2V,7.4549
3781,4815,"",Lam Hyi,Lam,"",Hyi,12.146654999999999,-74.923438,5.09,1.345,K5III,64.9351
3786,4656,"",63Del Psc,Del,63,Psc,12.170595,7.585079,4.44,1.5,K5III,95.4198
3801,4636,"",25Nu  Cas,Nu,25,Cas,12.20838,50.968168,4.9,-0.091,B9III,126.2626
3807,4737,"","","","",Phe,12.236369999999999,-46.697648,6.28,0.897,G8III,129.5337
3810,4676,"",64    Psc,"",64,Psc,12.244620000000001,16.940644,5.07,0.502,F8V...,23.4522
3821,4614,Achird,24Eta Cas,Eta,24,Cas,12.2739,57.815187,3.46,0.587,G0V SB,5.9531
3834,4732,"","","","",Cet,12.308100000000001,-24.136672,5.9,0.944,K0III,57.9039
3849,4730,"","","","",Cet,12.35673,-13.561274,5.59,1.325,K3III,85.1064
3858,4772,"","","","",Cet,12.389295,-23.362144,6.27,0.132,A3IV,234.192
3881,4727,"",35Nu  And,Nu,35,And,12.45351,41.078911,4.53,-0.136,B5V SB,189.3939
3885,4757,"",65    Psc,"",65,Psc,12.471494999999999,27.710286,5.55,0.398,F5III+...,88.574
3903,4849,"","","","",Phe,12.515685,-43.394921,6.49,0.286,A9/F0III,108.5776
3909,4813,"",19Phi2Cet,Phi-2,19,Cet,12.531645000000001,-10.644326,5.17,0.514,F7IV-V,15.753
3919,4778,"","","","",And,12.576045,45.002258,6.13,0.043,A0p...,100.3009
3949,4919,"",Rho Phe,Rho,"",Phe,12.67152,-50.986816,5.24,0.356,F2III,74.239
3951,4775,"","","","",Cas,12.68163,64.247549,5.35,0.528,A4V comp SB,196.0784
3965,4818,"","","","",Cas,12.738945,51.508032,6.38,0.307,F2IV,67.2948
3988,4817,"","","","",Cas,12.818264999999998,61.805494,6.04,1.88,K5Ib,100000.0
3992,4928,"","","","",Psc,12.82635,3.38502,6.39,1.069,K0III,137.931
4023,4881,"","","","",Cas,12.890789999999999,51.571427,6.22,0.032,B9.5V,306.7485
4104,5098,"","","","",Cet,13.169265000000001,-24.005844,5.47,1.275,K1III,171.2329
4147,5112,"",20    Cet,"",20,Cet,13.252065,-1.14426,4.78,1.55,M0III,179.8561
4151,5015,"","","","",Cas,13.267665000000001,61.12397,4.8,0.54,F8V,18.7441
4164,5156,"","","","",Cet,13.301895,-24.776876,6.44,0.439,F3V,73.5835
4185,5118,"","","","",And,13.367595,37.418209,6.07,1.139,K3III:,107.8749
4200,5276,"","","","",Tuc,13.407585000000001,-62.871352,5.73,1.574,M4III,218.3406
4212,5128,"","","","",Cas,13.448205,52.689293,6.27,0.191,A5m,88.4173
4257,5268,"",21    Cet,"",21,Cet,13.573305,-8.740662,6.15,0.911,G5IV,131.406
4267,5267,"",66    Psc,"",66,Psc,13.646775,19.188417,5.8,-0.016,A1Vn,108.1081
4283,4853,"","","","",Cep,13.720005,83.707435,5.59,0.105,A4V,87.7193
4288,5286,"",36    And,"",36,And,13.742085000000001,23.628335,5.46,1.012,K1IV,37.9795
4292,5234,"",26Ups1Cas,Ups-1,26,Cas,13.750725,58.972698,4.83,1.216,K2III,100.7049
4293,5457,"",Lam2Tuc,Lam-2,"",Tuc,13.751265,-69.527084,5.45,1.095,G7III,68.0272
4298,5273,"","","","",Cas,13.77171,48.67852,6.28,1.681,M2.5IIIa,207.4689
4317,5316,"","","","",Psc,13.811129999999999,24.557062,6.19,1.546,M4III,173.913
4346,5384,"","","","",Cet,13.92666,-7.347149,5.88,1.52,K5III,184.5018
4363,5445,"","","","",Scl,13.981395,-27.775839,6.11,1.674,M1/M2III,292.3977
4366,5382,"",67    Psc,"",67,Psc,13.9938,27.209381,6.08,0.133,A5IV,77.7605
4371,5437,"",22Phi3Cet,Phi-3,22,Cet,14.006205,-11.266526,5.35,1.505,K4III,168.9189
4382,5418,"","","","",Psc,14.038005,13.95196,6.46,0.962,G8II,125.1564
4383,5343,"","","","",Cas,14.053965,57.996557,6.2,1.376,K3III,198.8072
4422,5395,Castula,28Ups2Cas,Ups-2,28,Cas,14.16648,59.181056,4.62,0.957,G8III-IV,61.2745
4427,5394,Cih,27Gam Cas,Gam,27,Cas,14.177145,60.71674,2.15,-0.046,B0IV:evar,168.3502
4436,5448,"",37Mu  And,Mu,37,And,14.188274999999999,38.499345,3.86,0.13,A5V,39.7772
4440,5408,"","","","",Cas,14.195655,60.362836,5.56,-0.054,B8V,165.0165
